HUC8,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,FieldActivityEventType,FieldActivityRemark,WindSpeed,WindDirection,PrecipType,TideStage,WaveHeight,CloudCover,Pressure,GaugeHeight,FlowStage,Details,Latitude,Longitude,TierLevel
"02060006",420480,"BAY673","NTWQM","NTID","MDDNR","MDDNR","TF1.0",5/16/2016,08:38:00,,,,,,,,,,,"Clear (0-10%)",,,,"GAGE:6.14FT",38.95557,-76.69411
"02060006",420481,"BAY673","NTWQM","NTID","MDDNR","MDDNR","TF1.2",5/16/2016,09:28:00,,,,,,,,,,,"Clear (0-10%)",,,,"GAGE:1.80FT",38.81430,-76.75087
"02060006",420444,"BAY673","TWQM","TRIB","MDDNR","MDDNR","LE1.3",5/16/2016,09:48:00,23.5,,,,,">10 To 20 Knots","NNW",,"Flood Tide","0.1 to <0.3M","Scattered To Partly Cloudy (10-50%)",,,,"UNABLE TO POST CALIBRATE DO ON METER D.",38.33980,-76.48490
"02080202",428667,"NTN016","NTWQM","NTN","VADEQ","VADEQ/VRO","2-CFP004.67",5/16/2016,09:50:00,,,,,,,,"None",,,"Clear (0-10%)",,,,,37.98717,-79.49408
"02060006",420504,"BAY673","TWQM","TRIB","MDDNR","MDDNR","WXT0001",5/16/2016,10:05:00,1.1,,,,,">1 To 10 Knots","N",,"Flood Tide","0.0 to <0.1M","Clear (0-10%)",,,,,38.78538,-76.71343
"02060006",420443,"BAY673","TWQM","TRIB","MDDNR","MDDNR","LE1.2",5/16/2016,10:11:00,17,,,,,">10 To 20 Knots","NW",,"Flood Tide","0.1 to <0.3M","Scattered To Partly Cloudy (10-50%)",,,,"SWITCHED METERS DUE TO DO ISSUE.",38.37887,-76.51132
"02060006",420483,"BAY673","TWQM","TRIB","MDDNR","MDDNR","TF1.4",5/16/2016,10:43:00,1.8,,,,,">1 To 10 Knots","N",,"Flood Tide","0.0 to <0.1M","Clear (0-10%)",,,,,38.77302,-76.70927
"02060006",420442,"BAY673","TWQM","TRIB","MDDNR","MDDNR","LE1.1",5/16/2016,10:45:00,12,,,,,">10 To 20 Knots","NW",,"Flood Tide","0.1 to <0.3M","Scattered To Partly Cloudy (10-50%)",,,,"CARBOY SAMPLES @ 0.5; 1.0;3.0;5.0 & 7.0METERS",38.42535,-76.60176
"02070002",423456,"NTN016","NTWQM","NTN","MDDNR","MDDNR","GEO0009",5/16/2016,10:52:00,0.3,,,"R",,,,,,,"Clear (0-10%)",,,,"5@ 5.5;18.5(16.5-ROCK);27.5;38.5 AND 51(49.5-EDDY)FT-LEFT.",39.49364,-79.04470
"02080103",428755,"NTN016","NTWQM","NTN","VADEQ","VADEQ/NRO","3-RPP147.49",5/16/2016,11:09:00,,,,,,,,"None",,,"Clear (0-10%)",,4.85,,,38.52889,-77.82027
"02060006",420474,"BAY673","TWQM","TRIB","MDDNR","MDDNR","RET1.1",5/16/2016,11:18:00,11,,,,,">10 To 20 Knots","NW",,"Flood Tide","0.1 to <0.3M","Clear (0-10%)",,,,,38.49090,-76.66429
"02060006",420482,"BAY673","TWQM","TRIB","MDDNR","MDDNR","TF1.3",5/16/2016,11:18:00,,,,,,">1 To 10 Knots","N",,"Low Slack Tide","0.0 to <0.1M","Clear (0-10%)",,,,"SAMPLE COLLECTED FROM BRIDGE; NO SECCHI OR TOTAL DEPTH",38.81092,-76.71227
"02080201",428655,"NTN016","NTWQM","NTN","VADEQ","VADEQ/VRO","2-BCC004.71",5/16/2016,11:30:00,,,,,,,,"None",,,"Clear (0-10%)",,,,,38.06986,-79.89764
"02060006",420486,"BAY673","TWQM","TRIB","MDDNR","MDDNR","TF1.7",5/16/2016,11:49:00,3,,,,,">10 To 20 Knots","N",,"Flood Tide","0.0 to <0.1M","Scattered To Partly Cloudy (10-50%)",,,,,38.58211,-76.68101
"02060006",420485,"BAY673","TWQM","TRIB","MDDNR","MDDNR","TF1.6",5/16/2016,12:16:00,6.5,,,,,">10 To 20 Knots","N",,"Flood Tide","0.0 to <0.1M","Clear (0-10%)",,,,,38.65845,-76.68381
"02080201",428661,"NTN016","NTWQM","NTN","VADEQ","VADEQ/VRO","2-BLP000.79",5/16/2016,12:40:00,,,,,,,,"None",,,"Clear (0-10%)",,,,,38.19528,-79.57072
"02060006",420484,"BAY673","TWQM","TRIB","MDDNR","MDDNR","TF1.5",5/16/2016,12:42:00,11,,,,,">10 To 20 Knots","NW",,"Flood Tide","0.0 to <0.1M","Clear (0-10%)",,,,"CARBOY SAMPLES 0.5;2.0; 5.0;8.0;& 10.0 METERS",38.71012,-76.70146
"02070002",423473,"NTN016","NTWQM","NTN","MDDNR","MDDNR","WIL0013",5/16/2016,12:50:00,0.6,,,"R",,,,,,,"Scattered To Partly Cloudy (10-50%)",,,,"5@ 9.9;27.5(29.7-BRIDGE);49.5;69.3 AND 89.1FT-LEFT.",39.66185,-78.78029
"02080103",428746,"NTN016","NTWQM","NTN","VADEQ","VADEQ/NRO","3-ROB001.90",5/16/2016,13:22:00,,,,,,,,"None",,,"Clear (0-10%)",,2.95,,,38.33070,-78.10216
"02080103",428741,"NTN016","NTWQM","NTN","VADEQ","VADEQ/NRO","3-RAP066.54",5/16/2016,14:28:00,,,,,,,,"None",,,"Clear (0-10%)",,2.51,,,38.27985,-78.34084
"02070008",423453,"NTN016","NTWQM","NTN","MDDNR","MDDNR","CAC0148",5/17/2016,08:30:00,0.6,,,"R",,,,,,,"Overcast (>90%)",,,,"3@ 32; 48 & 64 FEET FROM LEFT;SAMPLED 48FT;LIGHT RAIN.",39.42578,-77.55900
"02080104",422111,"BAY673","TWQM","TRIB","VADEQ","VADEQ/NRO","TF3.2A",5/17/2016,10:55:00,6,,,,,,,"Mixed Rain and Snow","Low Slack Tide",,"Cloud (No Percentage)",,,,,38.11295,-77.05482
"02080104",422106,"BAY673","TWQM","TRIB","VADEQ","VADEQ/NRO","TF3.2",5/17/2016,11:44:00,6,,,,,,,"Mixed Rain and Snow","Low Slack Tide",,"Cloud (No Percentage)",,,,,38.17467,-77.18661
"02080104",422091,"BAY673","TWQM","TRIB","VADEQ","VADEQ/NRO","TF3.1B",5/17/2016,12:20:00,4,,,,,,,"Mixed Rain and Snow","Low Slack Tide",,"Cloud (No Percentage)",,,,,38.24628,-77.23344
"02070010",428568,"NTN016","NTWQM","NTN","VADEQ","USGSVA","1AACO014.57",5/17/2016,12:30:00,,,,"ONS",,,,,,,,760.00,2.14,,"TRUE BP = 759.6  ROUTINE SAMPLE WITHOUT STORM IMPACT. CIMS EVENT = ONS CIMS REMARK = NF",38.81123,-77.23026
"02080104",422096,"BAY673","TWQM","TRIB","VADEQ","VADEQ/NRO","TF3.1E",5/17/2016,12:51:00,3,,,,,,,"Mixed Rain and Snow","Low Slack Tide",,"Cloud (No Percentage)",,,,,38.24469,-77.32508
"02080104",422101,"BAY673","TWQM","TRIB","VADEQ","VADEQ/NRO","TF3.1F",5/17/2016,13:16:00,4,,,,,,,"Mixed Rain and Snow","Low Slack Tide",,"Cloud (No Percentage)",,,,,38.26953,-77.42897
"02070008",428580,"NTN016","NTWQM","NTN","VADEQ","USGSVA","1ADIF000.86",5/17/2016,13:30:00,,,,"ONS",,,,,,,,760.00,3.18,,"ROUTINE SAMPLE WITHOUT STORM IMPACT. CIMS EVENT = ONS CIMS REMARK = NF",38.97583,-77.24611
"02070011",428590,"NTN016","NTWQM","NTN","VADEQ","USGSVA","1ASOQ006.73",5/17/2016,15:00:00,,,,"S",,,,,,,,760.00,1.88,,"STORM TARGETED SAMPLE. CIMS EVENT CODE =S CIMS REMARK - NF",38.58722,-77.42889
"02080103",427436,"NTN016","NTWQM","NTN","VADEQ","USGSVA","1BMDD005.81",5/18/2016,11:45:00,,,,"R",,,,,,,,729.00,3.00,,,38.48667,-77.96056
"02070011",422172,"BAY673","SWM","CMON","MDDNR","MDDNR","XBF2099",5/19/2016,09:00:00,11.5,,,,,">1 To 10 Knots","N",,"Ebb Tide","0.1 to <0.3M","Partly To Broken (50-90%)",,,,"NO BS PH;NEW WQM # 214; MISSING TURB READINGS NEGATIVE",38.03300,-76.33550
"02080206",422026,"BAY673","TWQM","TRIB","VADEQ","VADEQ/TRO","LE5.3",5/19/2016,09:00:00,7,,,,,,,,"Flood Tide",,"Cloud (No Percentage)",,,,,36.99044,-76.47544
"02080206",422022,"BAY673","TWQM","TRIB","VADEQ","VADEQ/TRO","LE5.2",5/19/2016,09:40:00,9,,,,,,,,"Flood Tide",,"Cloud (No Percentage)",,,,,37.05600,-76.59306
"02070010",425392,"NTN016","NTWQM","NTN","MDDNR","USGSMD","01646580",5/19/2016,10:00:00,,,,"R",,,,,,,,766.00,,,"Data Source NWISMD; DB01; Recno 01600816:data ported by JBell 03/17",38.92955,-77.11692
